               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087263,            0.038289,            0.028061,             0.28813,             0.38311,             0.23747,            0.099445,            0.057284,            0.025539,            0.032886,            0.070469,           0.0032813,           0.0032813
                   1,            0.058432,            0.030274,            0.024673,             0.29811,             0.61789,              0.2987,             0.15054,            0.047301,            0.013901,            0.037671,            0.040381,           0.0065273,           0.0065273
                   2,            0.052838,            0.024996,            0.022417,             0.25742,             0.78517,             0.25595,             0.12709,            0.049026,            0.012589,            0.040347,            0.010206,           0.0096853,           0.0096853
                   3,            0.045959,            0.022227,            0.022093,             0.35005,             0.84644,             0.34776,              0.1746,            0.038909,            0.011358,            0.046864,            0.009604,            0.009604,            0.009604
                   4,            0.039786,            0.020029,            0.021142,             0.40496,             0.88416,             0.41234,             0.23685,            0.032907,            0.010465,            0.051535,            0.009604,            0.009604,            0.009604
                   5,            0.035493,            0.018195,            0.020294,             0.39874,             0.89489,             0.40193,             0.23535,             0.03172,            0.010574,            0.052139,            0.009472,            0.009472,            0.009472
                   6,            0.032679,            0.017694,            0.021234,             0.42285,             0.92132,             0.42715,             0.28236,            0.027108,           0.0093312,              0.0496,             0.00934,             0.00934,             0.00934
                   7,            0.032105,            0.017465,            0.020147,              0.4193,               0.864,             0.42349,             0.27641,            0.025684,           0.0095174,            0.058035,            0.009208,            0.009208,            0.009208
                   8,             0.03035,            0.017069,            0.019354,             0.39436,             0.90955,             0.39676,             0.27295,            0.024506,           0.0091144,            0.053143,            0.009076,            0.009076,            0.009076
                   9,             0.02859,            0.015937,            0.019234,             0.40635,             0.91022,             0.41322,             0.29256,            0.022765,           0.0088619,            0.058276,            0.008944,            0.008944,            0.008944
                  10,            0.027621,            0.015532,            0.019316,             0.42351,             0.90621,             0.44334,             0.29186,            0.025365,           0.0089619,            0.059451,            0.008812,            0.008812,            0.008812
